Type,FY14Base
StrategicForces,98450
GeneralPurposeForces,598219
IntelligenceCommunications,232713
ResearchDevelopment,6998867
CentralSupplyMaintenance,56136
AdministrationAssociatedActivities,0
ClassifiedPrograms,4717
Total,7989102
