Activity,FY14Base
BasicResearch,436725
AppliedResearch,885924
AdvancedTechnologyDevelopment,882106
AdvancedComponentDevelopmentPrototypes,636392
SystemDevelopmentDemonstration,2857026
RDTEManagementSupport,1159610
OperationalSystemsDevelopment,1131319
Total,7989102
