1,0605118OTE,Operational Test and Evaluation,06,75720,RDTE Management Support
2,0605131OTE,Live Fire Test and Evaluation,06,48423,RDTE Management Support
3,0605814OTE,Operational Test Activities and Analyses,06,62157,RDTE Management Support
