1,0601000BR,DTRA Basic Research Initiative,01,45837,Basic Research
25,0602718BR,Weapons of Mass Destruction Defeat Technologies,02,175282,Applied Research
31,0603160BR,Counterproliferation Initiatives - Proliferation Prevention and Defeat,03,274033,Advanced Technology Development
124,0605000BR,Weapons of Mass Destruction Defeat Capabilities,05,12901,System Development And Demonstration
