Activity,FY14Base
BasicResearch,615306
AppliedResearch,834538
AdvancedTechnologyDevelopment,583116
AdvancedComponentDevelopmentPrototypes,4641385
SystemDevelopmentDemonstration,5028476
ManagementSupport,886137
OperationalSystemsDevelopment,3385822
Total,15974780
