Activity,FY14Base
BasicResearch,524770
AppliedResearch,1127893
AdvancedTechnologyDevelopment,617526
AdvancedComponentDevelopmentPrototypes,876709
SystemDevelopmentDemonstration,5078715
ManagementSupport,1179791
OperationalSystemsDevelopment,16297542
Total,25702946
