Activity,FY14Base
BasicResearch,2164934
AppliedResearch,4626920
AdvancedTechnologyDevelopment,5191755
AdvancedComponentDevelopmentPrototypes,12057003
SystemDevelopmentDemonstration,13698853
RDTEManagementSupport,4324866
OperationalSystemsDevelopment,25455905
Total,67520236
