61,0603769SE,Distributed Learning Advanced Technology Development,03,12116,Advanced Technology Development
126,0605021SE,Homeland Personnel Security Initiative,05,386,System Development And Demonstration
161,0605803SE,R&D in Support of DoD Enlistment Testing and Evaluation,06,6908,Management Support
