64,0603751N,RETRACT ELM,04,114374,174014,174014,56358,Advanced Component Development & Prototypes
65,0603764N,LINK EVERGREEN,04,142858,68654,68654,55378,Advanced Component Development & Prototypes
66,0603787N,Special Processes,04,42805,44487,44487,48842,Advanced Component Development & Prototypes
67,0603790N,NATO Research and Development,04,9402,9389,9389,7509,Advanced Component Development & Prototypes
68,0603795N,Land Attack Technology,04,411,16132,16132,5075,Advanced Component Development & Prototypes
69,0603851M,Joint Non-Lethal Weapons Testing,04,40189,44994,44994,51178,Advanced Component Development & Prototypes
70,0603860N,Joint Precision Approach and Landing Systems - Dem/Val,04,95097,137369,137369,205615,Advanced Component Development & Prototypes
72,0604272N,Tactical Air Directional Infrared Countermeasures (TADIRCM),04,71738,73934,73934,37227,Advanced Component Development & Prototypes
73,0604279N,ASE Self-Protection Optimization,04,676,711,711,169,Advanced Component Development & Prototypes
74,0604653N,Joint Counter Radio Controlled IED Electronic Warfare (JCREW),04,60853,71300,71300,20874,Advanced Component Development & Prototypes
75,0604659N,Precision Strike Weapons Development Program,04,3381,5654,5654,2257,Advanced Component Development & Prototypes
76,0604707N,Space and Electronic Warfare (SEW) Architecture/Engineering Support,04,39250,31549,31549,38327,Advanced Component Development & Prototypes
77,0604786N,Offensive Anti-Surface Warfare Weapon Development,04,86801,86801,135985,Advanced Component Development & Prototypes
78,0605812M,Joint Light Tactical Vehicle (JLTV) Engineering/Man.,04,44500,44500,50362,Advanced Component Development & Prototypes
79,0303354N,ASW Systems Development - MIP,04,1078,13172,13172,8448,Advanced Component Development & Prototypes
80,0304270N,Electronic Warfare Development - MIP,04,11775,643,643,153,Advanced Component Development & Prototypes
81,0604212N,Other Helo Development,05,41473,33978,33978,40558,System Development & Demonstration
82,0604214N,AV-8B Aircraft - Eng Dev,05,22810,32789,32789,35825,System Development & Demonstration
83,0604215N,Standards Development,05,47406,84988,84988,99891,System Development & Demonstration
84,0604216N,Multi-Mission Helicopter Upgrade Development,05,16876,6866,6866,17565,System Development & Demonstration
85,0604218N,Air/Ocean Equipment Engineering,05,5492,4060,4060,4026,System Development & Demonstration
86,0604221N,P-3 Modernization Program,05,3294,3451,3451,1791,System Development & Demonstration
87,0604230N,Warfare Support System,05,9761,13071,13071,11725,System Development & Demonstration
88,0604231N,Tactical Command System,05,75683,71645,71645,68463,System Development & Demonstration
89,0604234N,Advanced Hawkeye,05,129414,119065,119065,152041,System Development & Demonstration
90,0604245N,H-1 Upgrades,05,65617,31105,31105,47123,System Development & Demonstration
91,0604261N,Acoustic Search Sensors,05,49353,34299,34299,30208,System Development & Demonstration
92,0604262N,V-22A,05,71938,54412,54412,43084,System Development & Demonstration
93,0604264N,Air Crew Systems Development,05,2620,2717,2717,11401,System Development & Demonstration
94,0604269N,EA-18,05,14770,13009,13009,11138,System Development & Demonstration
95,0604270N,Electronic Warfare Development,05,93692,51304,51304,34964,System Development & Demonstration
96,0604273N,VH-71A Executive Helo Development,05,58994,61163,61163,94238,System Development & Demonstration
97,0604274N,Next Generation Jammer (NGJ),05,160793,187024,187024,257796,System Development & Demonstration
98,0604280N,Joint Tactical Radio System - Navy (JTRS-Navy),05,601347,337480,337480,3302,System Development & Demonstration
99,0604307N,Surface Combatant Combat System Engineering,05,211968,260616,260616,240298,System Development & Demonstration
100,0604311N,LPD-17 Class Systems Integration,05,858,824,824,1214,System Development & Demonstration
101,0604329N,Small Diameter Bomb (SDB),05,23188,31064,31064,46007,System Development & Demonstration
102,0604366N,Standard Missile Improvements,05,55546,63891,63891,75592,System Development & Demonstration
103,0604373N,Airborne MCM,05,48614,73246,73246,117854,System Development & Demonstration
104,0604376M,Marine Air Ground Task Force (MAGTF) Electronic Warfare (EW) for Aviation,05,10568,10568,10080,System Development & Demonstration
105,0604378N,Naval Integrated Fire Control - Counter Air Systems Engineering,05,28279,39974,39974,21413,System Development & Demonstration
106,0604404N,Unmanned Carrier Launched Airborne Surveillance and Strike System,05,71182,122481,122481,146683,System Development & Demonstration
107,0604501N,Advanced Above Water Sensors,05,245946,255516,255516,275871,System Development & Demonstration
108,0604503N,SSN-688 and Trident Modernization,05,89083,82620,82620,89672,System Development & Demonstration
109,0604504N,Air Control,05,6116,5633,5633,13754,System Development & Demonstration
110,0604512N,Shipboard Aviation Systems,05,47903,55826,55826,69615,System Development & Demonstration
111,0604518N,Combat Information Center Conversion,05,3315,918,918,System Development & Demonstration
112,0604558N,New Design SSN,05,109117,165230,165230,121566,System Development & Demonstration
113,0604562N,Submarine Tactical Warfare System,05,47318,49141,49141,49143,System Development & Demonstration
114,0604567N,Ship Contract Design/ Live Fire T&E,05,121008,196737,196737,155254,System Development & Demonstration
115,0604574N,Navy Tactical Computer Resources,05,3003,3889,3889,3689,System Development & Demonstration
116,0604601N,Mine Development,05,3874,8335,8335,5041,System Development & Demonstration
117,0604610N,Lightweight Torpedo Development,05,25457,49818,49818,26444,System Development & Demonstration
118,0604654N,Joint Service Explosive Ordnance Development,05,11954,10099,10099,8897,System Development & Demonstration
119,0604703N,Personnel Training Simulation and Human Factors,05,12552,7348,7348,6233,System Development & Demonstration
120,0604727N,Joint Standoff Weapon Systems,05,7303,5518,5518,442,System Development & Demonstration
121,0604755N,Ship Self Defense (Detect & Control),05,71094,87662,87662,130360,System Development & Demonstration
122,0604756N,Ship Self Defense (Engage: Hard Kill),05,20041,64079,64079,50209,System Development & Demonstration
123,0604757N,Ship Self Defense (Engage: Soft Kill/EW),05,179033,151489,151489,164799,System Development & Demonstration
124,0604761N,Intelligence Engineering,05,2196,1984,System Development & Demonstration
125,0604771N,Medical Development,05,32118,12707,2173,14880,9458,System Development & Demonstration
126,0604777N,Navigation/ID System,05,38389,47764,47764,51430,System Development & Demonstration
127,0604800M,Joint Strike Fighter (JSF) - EMD,05,617695,737149,737149,512631,System Development & Demonstration
128,0604800N,Joint Strike Fighter (JSF) - EMD,05,632042,743926,743926,534187,System Development & Demonstration
129,0605013M,Information Technology Development,05,19080,12143,12143,5564,System Development & Demonstration
130,0605013N,Information Technology Development,05,28919,72209,72209,69659,System Development & Demonstration
132,0605212N,CH-53K RDTE,05,606255,606204,606204,503180,System Development & Demonstration
133,0605450N,Joint Air-to-Ground Missile (JAGM),05,108395,5500,System Development & Demonstration
134,0605500N,Multi-mission Maritime Aircraft (MMA),05,595532,421102,421102,317358,System Development & Demonstration
135,0204202N,DDG-1000,05,249780,124655,124655,187910,System Development & Demonstration
136,0304231N,Tactical Command System - MIP,05,979,1170,1170,2140,System Development & Demonstration
137,0304785N,Tactical Cryptologic Systems,05,31740,23255,23255,9406,System Development & Demonstration
138,0305124N,Special Applications Program,05,100000,22800,System Development & Demonstration
139,0604256N,Threat Simulator Development,06,27687,30790,30790,43261,Management Support
140,0604258N,Target Systems Development,06,52561,59221,59221,71872,Management Support
141,0604759N,Major T&E Investment,06,36670,35894,35894,38033,Management Support
142,0605126N,Joint Theater Air and Missile Defense Organization,06,2896,7573,7573,1352,Management Support
143,0605152N,Studies and Analysis Support - Navy,06,18431,20963,20963,5566,Management Support
144,0605154N,Center for Naval Analyses,06,46312,46856,46856,48345,Management Support
146,0605804N,Technical Information Services,06,1230,796,796,637,Management Support
147,0605853N,Management Technical & International Support,06,56441,32782,32782,76585,Management Support
148,0605856N,Strategic Technical Support,06,3192,3306,3306,3221,Management Support
149,0605861N,RDT&E Science and Technology Management,06,72778,70302,70302,72725,Management Support
150,0605863N,RDT&E Ship and Aircraft Support,06,134087,144033,144033,141778,Management Support
151,0605864N,Test and Evaluation Support,06,333344,342298,342298,331219,Management Support
152,0605865N,Operational Test and Evaluation Capability,06,16464,16399,16399,16565,Management Support
153,0605866N,Navy Space and Electronic Warfare (SEW) Support,06,4152,4579,5200,9779,3265,Management Support
154,0605867N,SEW Surveillance/Reconnaissance Support,06,7642,8000,8000,7134,Management Support
155,0605873M,Marine Corps Program Wide Support,06,26303,18490,18490,24082,Management Support
156,0305885N,Tactical Cryptologic Activities,06,1198,2795,2795,497,Management Support
159,0604227N,HARPOON Modifications,07,699,Operational Systems Development
160,0604402N,Unmanned Combat Air Vehicle (UCAV) Advanced Component and Prototype Development,07,202188,142282,142282,20961,Operational Systems Development
162,0604766M,Marine Corps Data Systems,07,1617,35,Operational Systems Development
163,0605525N,Carrier Onboard Delivery (COD) Follow On,07,2460,Operational Systems Development
164,0605555N,Strike Weapons Development,07,9757,Operational Systems Development
165,0101221N,Strategic Sub & Weapons System Support,07,87454,105892,105892,98057,Operational Systems Development
166,0101224N,SSBN Security Technology Program,07,32464,34729,34729,31768,Operational Systems Development
167,0101226N,Submarine Acoustic Warfare Development,07,6210,1434,1434,1464,Operational Systems Development
168,0101402N,Navy Strategic Communications,07,24075,19208,19208,21729,Operational Systems Development
169,0203761N,Rapid Technology Transition (RTT),07,32959,25566,25566,13561,Operational Systems Development
170,0204136N,F/A-18 Squadrons,07,148313,188299,188299,131118,Operational Systems Development
171,0204152N,E-2 Squadrons,07,11276,8610,8610,1971,Operational Systems Development
172,0204163N,Fleet Telecommunications (Tactical),07,2035,15695,15695,46155,Operational Systems Development
173,0204228N,Surface Support,07,3292,4171,4171,2374,Operational Systems Development
174,0204229N,Tomahawk and Tomahawk Mission Planning Center (TMPC),07,8581,11265,11265,12407,Operational Systems Development
175,0204311N,Integrated Surveillance System,07,29275,45922,45922,41609,Operational Systems Development
176,0204413N,Amphibious Tactical Support Units (Displacement Craft),07,5085,8435,8435,7240,Operational Systems Development
177,0204460M,Ground/Air Task Oriented Radar (G/ATOR),07,75088,75088,78208,Operational Systems Development
178,0204571N,Consolidated Training Systems Development,07,38055,20229,20229,45124,Operational Systems Development
179,0204574N,Cryptologic Direct Support,07,1447,1756,1756,2703,Operational Systems Development
180,0204575N,Electronic Warfare (EW) Readiness Support,07,17686,19843,19843,19563,Operational Systems Development
181,0205601N,HARM Improvement,07,11748,11477,11477,13586,Operational Systems Development
182,0205604N,Tactical Data Links,07,62367,118818,118818,197538,Operational Systems Development
183,0205620N,Surface ASW Combat System Integration,07,28927,27342,27342,31863,Operational Systems Development
184,0205632N,MK-48 ADCAP,07,45130,28717,28717,12806,Operational Systems Development
185,0205633N,Aviation Improvements,07,101135,89157,89157,88607,Operational Systems Development
187,0205675N,Operational Nuclear Power Systems,07,82705,86435,86435,116928,Operational Systems Development
188,0206313M,Marine Corps Communications Systems,07,313832,219054,219054,178753,Operational Systems Development
189,0206623M,Marine Corps Ground Combat/Supporting Arms Systems,07,153435,181693,181693,139594,Operational Systems Development
190,0206624M,Marine Corps Combat Services Support,07,45803,58393,6762,65155,42647,Operational Systems Development
191,0206625M,USMC Intelligence/Electronic Warfare Systems (MIP),07,19627,22966,22966,34394,Operational Systems Development
192,0207161N,Tactical AIM Missiles,07,8463,21107,21107,39159,Operational Systems Development
193,0207163N,Advanced Medium Range Air-to-Air Missile (AMRAAM),07,2803,2857,2857,2613,Operational Systems Development
194,0208058N,Joint High Speed Vessel (JHSV),07,3991,1932,1932,986,Operational Systems Development
199,0303109N,Satellite Communications (SPACE),07,258812,188482,188482,66231,Operational Systems Development
200,0303138N,Consolidated Afloat Network Enterprise Services (CANES),07,24039,16749,16749,24476,Operational Systems Development
201,0303140N,Information Systems Security Program,07,38747,26307,26307,23531,Operational Systems Development
206,0305160N,Navy Meteorological and Ocean Sensors-Space (METOC),07,820,810,810,742,Operational Systems Development
207,0305192N,Military Intelligence Program (MIP) Activities,07,4099,8617,8617,4804,Operational Systems Development
208,0305204N,Tactical Unmanned Aerial Vehicles,07,9353,9066,9066,8381,Operational Systems Development
211,0305208M,Distributed Common Ground/Surface Systems,07,22309,25917,25917,5535,Operational Systems Development
212,0305208N,Distributed Common Ground/Surface Systems,07,27495,14676,14676,19718,Operational Systems Development
213,0305220N,RQ-4 UAV,07,548617,657483,657483,375235,Operational Systems Development
214,0305231N,MQ-8 UAV,07,110011,99600,99600,48713,Operational Systems Development
215,0305232M,RQ-11 UAV,07,979,495,495,102,Operational Systems Development
216,0305233N,RQ-7 UAV,07,872,863,7600,8463,710,Operational Systems Development
217,0305234N,Small (Level 0) Tactical UAS (STUASL0),07,20287,9734,9734,5013,Operational Systems Development
219,0305239M,RQ-21A,07,24201,22343,22343,11122,Operational Systems Development
220,0305241N,Multi-Intelligence Sensor Development,07,28851,Operational Systems Development
221,0308601N,Modeling and Simulation Support,07,8072,5908,5908,5116,Operational Systems Development
222,0702207N,Depot Maintenance (Non-IF),07,24473,27391,27391,28042,Operational Systems Development
223,0708011N,Industrial Preparedness,07,51778,54879,54879,50933,Operational Systems Development
224,0708730N,Maritime Technology (MARITECH),07,3923,5000,5000,4998,Operational Systems Development
9999,9999999999,Classified Programs,1341748,1151159,33784,1184943,1185132,Operational Systems Development
